id,name,type,cost,rarity,description,tags,income,stress,stressLimit,canDiscard,cardImagePath,illustrationPath,imageFitMode,imageAnchorPreset,modelProfileId
pet_001,新晋柯基,entity_pet,2,common,可爱但容易焦虑的新人主播,dog|cute,2,1,3,true,/assets/cards/pets/pet_001.svg,/assets/illustrations/pets/pet_001.svg,contain,center,model_corgi
pet_002,暴躁二哈,entity_pet,3,rare,高收益高风险的流量担当,dog|chaos,5,2,3,true,/assets/cards/pets/pet_002.svg,/assets/illustrations/pets/pet_002.svg,contain,center,model_husky
pet_003,摸鱼水豚,entity_pet,1,common,佛系主播，岁月静好,chill|cute,1,0,5,true,/assets/cards/pets/pet_003.svg,/assets/illustrations/pets/pet_003.svg,contain,center,model_capybara
pet_004,橘猫胖丁,entity_pet,2,common,吃播专家，但会传染焦虑,cat|cute,3,1,3,true,/assets/cards/pets/pet_004.svg,/assets/illustrations/pets/pet_004.svg,contain,center,model_orange_cat
pet_005,高冷布偶,entity_pet,3,rare,优雅的贵族主播,cat|elegant,4,1,3,true,/assets/cards/pets/pet_005.svg,/assets/illustrations/pets/pet_005.svg,contain,center,model_ragdoll
pet_006,永动机猫,entity_pet,4,epic,传说中的自律主播,cat|legendary,3,0,4,true,/assets/cards/pets/pet_006.svg,/assets/illustrations/pets/pet_006.svg,contain,center,model_eternal_cat
worker_001,实习牛马,entity_worker,1,common,廉价劳动力，可以献祭,worker|intern,1,0,3,true,/assets/cards/workers/worker_001.svg,/assets/illustrations/workers/worker_001.svg,contain,center,model_intern_pony
worker_002,资深社畜,entity_worker,2,rare,经验丰富的老员工,worker|veteran,3,0,3,true,/assets/cards/workers/worker_002.svg,/assets/illustrations/workers/worker_002.svg,contain,center,model_veteran_horse
worker_003,卷王,entity_worker,3,rare,内卷之王，但会打击周围士气,worker|toxic,5,0,3,true,/assets/cards/workers/worker_003.svg,/assets/illustrations/workers/worker_003.svg,contain,center,model_hustle_horse
worker_004,算账小仓鼠,entity_worker,2,epic,精打细算的财务专家,worker|finance,1,0,3,true,/assets/cards/workers/worker_004.svg,/assets/illustrations/workers/worker_004.svg,contain,center,model_finance_hamster
worker_005,投资老狐狸,entity_worker,3,epic,风险对冲专家,worker|finance,0,0,3,true,/assets/cards/workers/worker_005.svg,/assets/illustrations/workers/worker_005.svg,contain,center,model_investor_fox
worker_006,加班企鹅,entity_worker,2,rare,在冰点加班也面不改色,worker|steady,3,0,3,true,/assets/cards/workers/worker_006.svg,/assets/illustrations/workers/worker_006.svg,contain,center,model_overtime_penguin
worker_007,数据水獭,entity_worker,3,epic,靠流水报表找出每一滴利润,worker|analysis,1,0,3,true,/assets/cards/workers/worker_007.svg,/assets/illustrations/workers/worker_007.svg,contain,center,model_data_otter
worker_008,法务獒犬,entity_worker,2,rare,开会时一句话能让全员老实,worker|legal,4,0,3,true,/assets/cards/workers/worker_008.svg,/assets/illustrations/workers/worker_008.svg,contain,center,model_legal_mastiff
worker_009,后勤河狸,entity_worker,3,epic,拆了也能迅速从废墟里捞回物资,worker|support,1,0,3,true,/assets/cards/workers/worker_009.svg,/assets/illustrations/workers/worker_009.svg,contain,center,model_logistics_beaver
pet_007,夜班猫头鹰,entity_pet,2,common,深夜档数据稳定的守夜主播,bird|night,2,1,4,true,/assets/cards/pets/pet_007.svg,/assets/illustrations/pets/pet_007.svg,contain,center,model_night_owl
pet_008,摇滚鹦鹉,entity_pet,3,rare,开麦就能带动气氛的热场王,bird|music,4,1,3,true,/assets/cards/pets/pet_008.svg,/assets/illustrations/pets/pet_008.svg,contain,center,model_rock_parrot
pet_009,KPI海狸,entity_pet,2,rare,搭木头做看板的目标管理大师,beaver|builder,3,1,4,true,/assets/cards/pets/pet_009.svg,/assets/illustrations/pets/pet_009.svg,contain,center,model_kpi_beaver
pet_010,摆烂树懒,entity_pet,1,common,不争不抢但从不爆炸,sloth|chill,1,0,6,true,/assets/cards/pets/pet_010.svg,/assets/illustrations/pets/pet_010.svg,contain,center,model_slacker_sloth
pet_011,打卡柴犬,entity_pet,2,common,准点开播且情绪管理极稳,dog|discipline,2,0,4,true,/assets/cards/pets/pet_011.svg,/assets/illustrations/pets/pet_011.svg,contain,center,model_clockin_shiba
pet_012,热搜兔,entity_pet,4,epic,追热点的速度比弹幕还快,rabbit|trend,3,1,4,true,/assets/cards/pets/pet_012.svg,/assets/illustrations/pets/pet_012.svg,contain,center,model_trending_rabbit
pet_013,危机公关狐獴,entity_pet,3,rare,越到高压时刻越会安抚团队,meerkat|support,3,1,3,true,/assets/cards/pets/pet_013.svg,/assets/illustrations/pets/pet_013.svg,contain,center,model_pr_meerkat
pet_014,奶茶熊猫,entity_pet,4,epic,直播间常驻福袋担当，治愈感拉满,panda|cute,2,0,5,true,/assets/cards/pets/pet_014.svg,/assets/illustrations/pets/pet_014.svg,contain,center,model_milk_tea_panda
action_001,高级猫薄荷,action_debuff,1,rare,瞬间安抚萌宠的神器,consumable,,,,true,/assets/cards/actions/action_001.svg,/assets/illustrations/actions/action_001.svg,contain,center,
action_002,画大饼,action_buff,2,epic,短期激励，长期隐患,risky,,,,true,/assets/cards/actions/action_002.svg,/assets/illustrations/actions/action_002.svg,contain,center,
action_003,物理位移,action_utility,1,common,调整阵型的基础操作,utility,,,,true,/assets/cards/actions/action_003.svg,/assets/illustrations/actions/action_003.svg,contain,center,
action_004,全屏打赏,action_buff,3,legendary,土豪刷火箭,powerful,,,,true,/assets/cards/actions/action_004.svg,/assets/illustrations/actions/action_004.svg,contain,center,
action_005,群体降压,action_debuff,2,rare,团建活动,aoe,,,,true,/assets/cards/actions/action_005.svg,/assets/illustrations/actions/action_005.svg,contain,center,
action_006,强制辞退,action_utility,0,common,资本家的冷酷决策,sacrifice,,,,true,/assets/cards/actions/action_006.svg,/assets/illustrations/actions/action_006.svg,contain,center,
action_007,盲盒零食,action_utility,1,common,赌一把,draw,,,,true,/assets/cards/actions/action_007.svg,/assets/illustrations/actions/action_007.svg,contain,center,
action_008,紧急避险,action_utility,1,rare,临时撤退,utility,,,,true,/assets/cards/actions/action_008.svg,/assets/illustrations/actions/action_008.svg,contain,center,
action_009,集体摸鱼,action_buff,1,rare,短暂休整，先把工位气压降下来,utility|relief,,,,true,/assets/cards/actions/action_009.svg,/assets/illustrations/actions/action_009.svg,contain,center,
action_010,热搜投放,action_buff,3,legendary,把预算全砸给当日热点,media|powerful,,,,true,/assets/cards/actions/action_010.svg,/assets/illustrations/actions/action_010.svg,contain,center,
action_011,人事补招,action_utility,1,common,临时扩编，先把人手补起来,draw|utility,,,,true,/assets/cards/actions/action_011.svg,/assets/illustrations/actions/action_011.svg,contain,center,
action_012,外包止损,action_utility,1,rare,把锅甩出去，顺便给主播减压,sacrifice|utility,,,,true,/assets/cards/actions/action_012.svg,/assets/illustrations/actions/action_012.svg,contain,center,
action_resentment,怨气卡,action_debuff,0,common,打出不消耗罐头，不可弃置只能打出；打出时全场萌宠压力+2,curse,,,,false,/assets/cards/actions/action_resentment.svg,/assets/illustrations/actions/action_resentment.svg,contain,center,
